lesson,lesson_title,section,simplified
8,Chinese Movies,core,连
8,Chinese Movies,core,影子
8,Chinese Movies,core,研究报告
8,Chinese Movies,core,轻松
8,Chinese Movies,core,表妹
8,Chinese Movies,core,强
8,Chinese Movies,core,完
8,Chinese Movies,core,导演
8,Chinese Movies,core,部
8,Chinese Movies,core,功夫片
8,Chinese Movies,core,主要
8,Chinese Movies,core,特别
8,Chinese Movies,core,它
8,Chinese Movies,core,场面
8,Chinese Movies,core,情节
8,Chinese Movies,core,吸引人
8,Chinese Movies,core,关于
8,Chinese Movies,core,古代
8,Chinese Movies,core,故事
8,Chinese Movies,core,不如
8,Chinese Movies,core,精彩
8,Chinese Movies,core,对
8,Chinese Movies,core,描写
8,Chinese Movies,core,历史
8,Chinese Movies,core,同意
8,Chinese Movies,core,客观
8,Chinese Movies,core,感
8,Chinese Movies,core,兴趣
8,Chinese Movies,core,感情
8,Chinese Movies,core,方面
8,Chinese Movies,core,而且
8,Chinese Movies,core,特技
8,Chinese Movies,core,效果
8,Chinese Movies,core,颜色
8,Chinese Movies,core,周末
8,Chinese Movies,core,放
8,Chinese Movies,core,票价
